Title,Price,Discount Price,Category,Description,Image,Rating,PurchaseID
Cotton Straight Kurti - Green,1299,899,kurti,"Soft cotton straight-fit kurti ideal for daily wear. Features round neck and three-quarter sleeves.","https://source.unsplash.com/400x500/?green-kurti,women",4.2,101
Printed Anarkali Kurti - Blue,1899,1499,kurti,"Flowy anarkali-style kurti with floral print. Suitable for festive and casual wear.","https://source.unsplash.com/400x500/?blue-anarkali,women",4.5,102
Chiffon Saree - Pink Floral,2499,1999,saree,"Lightweight chiffon saree with soft floral patterns. Perfect for summer occasions.","https://source.unsplash.com/400x500/?pink-saree,women",4.7,103
Rayon A-line Kurti - Black,1599,1299,kurti,"Elegant A-line rayon kurti with minimal gold print. Breathable and comfortable.","https://source.unsplash.com/400x500/?black-kurti,women",4.3,104
Casual Cotton Top - White,699,499,top,"Everyday white cotton top with breathable fabric and short sleeves.","https://source.unsplash.com/400x500/?white-top,women",4.0,105
Maxi Dress - Red Boho Print,2199,1799,dress,"Full-length boho-inspired maxi dress with flared hemline.","https://source.unsplash.com/400x500/?red-maxi-dress,women",4.6,106
Ethnic Set - Yellow Kurti with Pants,2699,2399,ethnic_set,"Yellow straight kurti paired with printed ankle-length pants.","https://source.unsplash.com/400x500/?yellow-ethnic,women",4.4,107
Cotton Leggings - Navy Blue,499,399,leggings,"Premium stretchable cotton leggings with comfortable fit.","https://source.unsplash.com/400x500/?navy-leggings,women",4.1,108
Embroidered Kurti - Maroon,1999,1699,kurti,"Rich embroidered kurti perfect for festive events and gatherings.","https://source.unsplash.com/400x500/?maroon-kurti,women",4.8,109
Georgette Saree - Black Golden Border,2899,2299,saree,"Elegant black georgette saree with premium golden lace border.","https://source.unsplash.com/400x500/?black-saree,women",4.7,110
Printed Straight Kurti - Purple,1199,899,kurti,"Light purple printed kurti with subtle patterns and comfortable fit.","https://source.unsplash.com/400x500/?purple-kurti,women",4.0,111
Denim Shirt Top - Light Blue,1299,1099,top,"Trendy light blue denim shirt top with roll-up sleeves.","https://source.unsplash.com/400x500/?denim-top,women",4.3,112
Linen Kurti - Off White,1499,1299,kurti,"Premium linen kurti ideal for office and everyday wear.","https://source.unsplash.com/400x500/?linen-kurti,women",4.5,113
Floral Skater Dress - Peach,1399,1199,dress,"Peach skater dress with a floral pattern and soft silhouette.","https://source.unsplash.com/400x500/?peach-dress,women",4.4,114
Printed Dupatta - Multi-color,799,599,dupatta,"Lightweight multi-color printed dupatta for everyday ethnic wear.","https://source.unsplash.com/400x500/?dupatta,women",4.1,115
Festive Silk Saree - Red Gold,4999,3999,saree,"Pure silk festive saree with rich red and golden detailing.","https://source.unsplash.com/400x500/?silk-saree,women",4.9,116
Comfort Fit Kurti - Teal,999,799,kurti,"Soft rayon kurti offering superior comfort for long hours.","https://source.unsplash.com/400x500/?teal-kurti,women",3.9,117
Bohemian Maxi Skirt - Orange,1599,1299,skirt,"Printed boho-style maxi skirt with elasticated waistband.","https://source.unsplash.com/400x500/?boho-skirt,women",4.3,118
